"samples","Endothelial","Immune (Macrophages)","Acinar","Active Stellate","Quiescent Stellate","Cycling Alpha","Alpha","Gamma + Epsilon","MUC5B+ Ductal","Delta","Beta","Ductal"
"SRR22775836",0,7,355,0,0,5,676,27,40,52,138,427
"SRR22775837",9,3,15,392,38,6,1012,78,81,3,451,996
"SRR22775838",3,12,54,0,2,1,1936,244,1,35,699,17
"SRR22775839",10,1,486,2,2,3,476,3,55,10,614,651
"SRR22775840",1,3,45,138,9,8,977,1,0,105,156,6
"SRR27326986__24Hr_Cytokines",0,0,0,2,0,0,164,0,0,4,201,19
"SRR27326986__2Hr_H2O2",0,0,0,1,0,0,176,0,1,1,131,17
"SRR27326986__4Hr_Cytokines",0,0,0,0,1,0,223,1,0,5,215,22
"SRR27326986__no_treatment",0,3,0,1,0,1,547,0,1,2,493,50
"SRR27326987__24Hr_Cytokines",0,0,0,0,0,0,292,2,0,5,384,19
"SRR27326987__2Hr_H2O2",0,1,0,0,1,0,302,1,0,0,273,8
"SRR27326987__4Hr_Cytokines",0,1,0,0,0,0,360,3,1,5,513,43
"SRR27326987__no_treatment",0,6,1,1,0,6,929,2,0,1,999,50
"SRR27326992__24h_DMSO",0,10,17,1,0,1,151,4,6,14,102,21
"SRR27326992__24h_Thapsigargin",1,1,32,1,1,0,141,2,20,10,85,62
"SRR27326992__2Hr_Thapsigargin",0,10,8,2,1,1,150,3,23,19,152,32
"SRR27326992__4Hr_DMSO",0,13,8,1,0,0,151,3,7,10,87,18
"SRR27326992__4Hr_Thapsigargin",0,8,16,4,1,1,200,7,9,15,155,53
"SRR27326992__no_treatment",1,11,8,0,1,1,170,6,5,10,127,15
"SRR27326993__24h_DMSO",0,2,23,15,1,2,180,5,12,23,237,59
"SRR27326993__24h_Thapsigargin",0,0,45,10,2,0,203,3,28,14,187,93
"SRR27326993__2Hr_Thapsigargin",0,9,40,6,1,0,168,3,36,15,216,84
"SRR27326993__4Hr_DMSO",0,3,43,8,1,1,148,2,4,8,158,49
"SRR27326993__4Hr_Thapsigargin",0,16,26,7,4,2,230,9,9,17,228,72
"SRR27326993__no_treatment",0,1,12,6,2,0,186,5,11,6,191,22
"SRR27326994__24h_DMSO",16,14,14,22,8,3,324,20,7,27,153,16
"SRR27326994__24h_Thapsigargin",12,2,12,81,7,1,366,32,4,35,225,49
"SRR27326994__2Hr_Thapsigargin",13,8,11,21,3,1,379,25,13,38,191,23
"SRR27326994__4Hr_DMSO",15,12,13,29,6,3,280,14,3,23,116,18
"SRR27326994__4Hr_Thapsigargin",26,8,14,38,12,5,431,38,5,47,147,35
"SRR27326994__no_treatment",21,15,14,26,3,3,488,37,4,39,192,21
"SRR27326995__24h_DMSO",7,18,12,26,9,5,345,25,4,24,138,11
"SRR27326995__24h_Thapsigargin",12,1,13,75,10,6,382,32,8,41,213,46
"SRR27326995__2Hr_Thapsigargin",6,8,12,23,3,1,378,31,14,33,177,26
"SRR27326995__4Hr_DMSO",9,13,10,27,10,5,350,14,0,30,115,14
"SRR27326995__4Hr_Thapsigargin",23,4,16,51,12,7,403,30,4,50,186,33
"SRR27326995__no_treatment",14,17,7,21,11,2,458,32,6,37,170,13
"SRR27326996__24h_DMSO",0,4,8,0,0,2,381,6,0,61,243,0
"SRR27326996__24h_Thapsigargin",2,0,13,37,3,5,576,9,0,157,460,8
"SRR27326996__2Hr_Thapsigargin",0,7,4,1,1,8,667,6,0,114,423,0
"SRR27326996__4Hr_DMSO",0,12,6,1,0,2,603,4,0,118,431,3
"SRR27326996__4Hr_Thapsigargin",0,4,6,2,3,4,713,16,0,168,553,1
"SRR27326996__no_treatment",0,5,2,0,0,2,311,7,0,70,236,1
"SRR27326997__24h_DMSO",0,2,12,3,0,3,308,5,1,44,170,4
"SRR27326997__24h_Thapsigargin",4,1,30,30,4,3,457,11,0,73,394,15
"SRR27326997__2Hr_Thapsigargin",3,11,22,11,1,4,600,16,1,75,360,11
"SRR27326997__4Hr_DMSO",1,5,15,4,3,3,559,19,1,107,338,7
"SRR27326997__4Hr_Thapsigargin",0,5,19,7,1,3,554,8,2,94,517,9
"SRR27326997__no_treatment",0,2,9,3,0,1,208,6,0,37,149,7
